Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Consumer_Area_Code,Subject,Recorded_Message_Or_Robocall
8777959819,2021-07-07 02:22:46,2021-07-06 14:49:00,SHERMAN OAKS,California,818,Other,Y
2023803203,2021-07-07 02:24:07,2021-07-06 15:01:00,Tucson,Arizona,520,Dropped call or no message,
8082073345,2021-07-07 02:24:57,2021-06-23 09:46:00,Honolulu,Hawaii,808,Warranties  & protection plans,Y
5209863047,2021-07-07 02:26:27,2021-07-06 14:51:00,Tucson,Arizona,520,Dropped call or no message,
3173423189,2021-07-07 02:29:09,2021-07-06 00:00:00,New York,New York,212,"Calls pretending to be government, businesses, or family and friends",Y
9047132403,2021-07-07 02:29:26,2021-07-01 12:31:00,Honolulu,Hawaii,808,Other,Y
6263637700,2021-07-07 02:31:18,2021-07-06 08:28:00,SHERMAN OAKS,California,818,Warranties  & protection plans,Y
6178468255,2021-07-07 02:32:24,2021-07-06 17:15:00,Idyllwild,California,951,Other,Y
8032058627,2021-07-07 02:38:21,2021-07-06 14:25:00,Tucson,Arizona,520,No Subject Provided,
9092568058,2021-07-07 02:40:51,2021-07-06 11:17:00,Hayward,California,510,Dropped call or no message,Y
5202462854,2021-07-07 02:42:42,2021-07-06 13:32:00,Tucson,Arizona,520,No Subject Provided,
9092568058,2021-07-07 02:42:45,2021-07-06 15:22:00,Hayward,California,510,Dropped call or no message,Y
2242257122,2021-07-07 02:44:09,2021-07-06 19:24:00,Buffalo Grove,Illinois,847,Other,Y
9092568058,2021-07-07 02:44:16,2021-07-06 18:09:00,Hayward,California,510,Dropped call or no message,Y
8188627636,2021-07-07 02:46:13,2021-06-10 14:17:00,,California,818,No Subject Provided,Y
7192979892,2021-07-07 02:46:47,2021-07-06 10:20:00,Tucson,Arizona,520,No Subject Provided,
6505034604,2021-07-07 02:47:02,2021-07-06 13:51:00,Hayward,California,510,Warranties  & protection plans,Y
5208478570,2021-07-07 02:49:27,2021-07-06 09:42:00,Tucson,Arizona,520,No Subject Provided,
8188626721,2021-07-07 02:28:03,2021-07-01 14:51:00,,California,818,No Subject Provided,Y
8188627582,2021-07-07 02:32:33,2021-06-29 09:27:00,,California,818,No Subject Provided,Y
8188626039,2021-07-07 02:35:55,2021-06-23 10:47:00,,California,818,No Subject Provided,Y
7605649092,2021-07-07 02:39:13,2021-06-11 12:57:00,,California,818,No Subject Provided,Y
8188627636,2021-07-07 02:43:07,2021-06-10 14:17:00,,California,818,No Subject Provided,Y
7025221390,2021-07-07 02:48:55,2021-04-22 07:00:00,,California,818,No Subject Provided,Y
3212826210,2021-07-07 02:55:41,2021-07-06 13:03:00,Brentwood,California,925,Dropped call or no message,Y
2034335611,2021-07-07 02:57:04,2021-07-06 13:19:00,Brentwood,California,925,Dropped call or no message,Y
3083656953,2021-07-07 02:57:56,2021-07-06 09:15:00,Tucson,Arizona,520,No Subject Provided,
2057108958,2021-07-07 02:58:29,2021-07-06 14:18:00,Brentwood,California,925,Dropped call or no message,Y
8888488631,2021-07-07 02:59:45,2021-07-06 15:07:00,Brentwood,California,925,Dropped call or no message,Y
5202462951,2021-07-07 03:00:03,2021-07-06 08:18:00,Tucson,Arizona,520,No Subject Provided,
2037949358,2021-07-07 03:00:05,2021-07-05 14:30:00,,New York,631,Other,N
